country;year;quarter;vessel_length;fishing_tech;gear_type;target_assemblage;mesh_size_range;metier;domain_discards;domain_landings;supra_region;sub_region;eez_indicator;geo_indicator;nep_sub_region;specon_tech;deep;species;totwghtlandg;totvallandg;discards;confidential
PSP;2014;1;NK;DTS;OTB;DEF;NK;OTB_DEF_>=40_0_0;1_GSA1_OTB_DEF_>=40_0_0;NK;MBS;GSA99;NA;NGI;NK;NA;NA;RJC;0;0;0.241;N
PSP;2014;2;NK;DTS;OTB;DEF;NK;OTB_DEF_>=40_0_0;1_GSA6_OTB_DEF_>=40_0_0;NK;MBS;GSA99;NA;NGI;NK;NA;NA;SQR;0;0;0.65;N
PSP;2014;3;NK;DTS;OTB;DWS;NK;OTB_DWS_>=40_0_0;1_GSA6_OTB_DWS_>=40_0_0;NK;MBS;GSA99;NA;NGI;NK;NA;NA;LDB;0;0;0.06;N
PSP;2014;1;VL0006;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DXL;0.359;5086.562645;NK;A
PSP;2014;4;VL0612;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DXL;0.91;12893.51534;NK;N
PSP;2014;1;VL1218;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;KLK;0.261;779.8609061;NK;A
PSP;2014;5;VL1824;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;KTT;33.702;40368.91673;NK;N
PSP;2014;1;VL2440;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SVE;0.177;881.7612384;NK;A
PSP;2015;6;VL0006;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;VEV;0.071;292.4512062;NK;A
PSP;2015;1;VL0612;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BOY;0.115;1175.794023;NK;A
PSP;2015;7;VL1218;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;FNT;0.189;514.5930491;NK;A
PSP;2015;8;VL1824;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MGR;0.001;4.341396198;NK;A
PSP;2015;1;VL2440;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;OCC;10.284;49125.96615;NK;N
PSP;2015;2;VL0006;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SWA;0.111;633.652279;NK;A
PSP;2016;3;VL0612;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BOQ;0.038;44.03067053;NK;A
PSP;2016;1;VL1218;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BOY;0.014;143.1401419;NK;A
PSP;2016;4;VL1824;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CTC;0.019;107.0110469;NK;N
