country;year;quarter;vessel_length;fishing_tech;gear_type;target_assemblage;mesh_size_range;metier;supra_region;sub_region;eez_indicator;geo_indicator;specon_tech;deep;totseadays;totkwdaysatsea;totgtdaysatsea;totfishdays;totkwfishdays;totgtfishdays;hrsea;kwhrsea;gthrsea;totves;confidential
PSP;2014;1;NK;DTS;OTB;DEF;NK;OTB_DEF_>=40_0_0;MBS;GSA99;NA;NGI;NK;NA;19;19;139.65;22.04;139.65;22.04;NK;NK;NK;1;Y
PSP;2014;2;NK;DTS;OTB;DEF;NK;OTB_DEF_>=40_0_0;MBS;GSA99;NA;NGI;NK;NA;134;134;1590.408;186.78;1590.408;186.78;NK;NK;NK;7;N
PSP;2014;3;NK;DTS;OTB;DWS;NK;OTB_DWS_>=40_0_0;MBS;GSA99;NA;NGI;NK;NA;244;244;2395.365;241.49;2395.365;241.49;NK;NK;NK;11;N
PSP;2014;1;VL0006;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA99;NA;NGI;NK;NA;34;34;440.265;34.12;440.265;34.12;NK;NK;NK;8;N
PSP;2014;4;VL0612;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA99;NA;NGI;NK;NA;83;83;720.3;74.27;720.3;74.27;NK;NK;NK;13;N
PSP;2014;1;VL1218;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA99;NA;NGI;NK;NA;17;17;285.915;13.69;285.915;13.69;NK;NK;NK;3;Y
PSP;2014;5;VL1824;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA99;NA;NGI;NK;NA;77;77;711.771;72.14;711.771;72.14;NK;NK;NK;20;N
PSP;2014;1;VL2440;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA99;NA;NGI;NK;NA;2;2;35.28;3.44;35.28;3.44;NK;NK;NK;1;Y
PSP;2015;6;VL0006;PMP;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA99;NA;NGI;NK;NA;27;27;267.54;26.52;267.54;26.52;NK;NK;NK;8;N
PSP;2015;1;VL0612;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;19;19;201.94;16.86;201.94;26.52;NK;NK;NK;10;N
PSP;2015;7;VL1218;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;17.64;1.72;17.64;26.52;NK;NK;NK;1;Y
PSP;2015;8;VL1824;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;331;331;2775.727;288.88;NA;26.52;NK;NK;NK;24;N
PSP;2015;1;VL2440;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;57;57;928.819;42.97;NA;26.52;NK;NK;NK;4;N
PSP;2015;2;VL0006;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;312;312;3240.416;304.73;NA;26.52;NK;NK;NK;34;N
PSP;2016;3;VL0612;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;31;31;170.887;22.94;NA;26.52;NK;NK;NK;1;Y
PSP;2016;1;VL1218;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;4;4;76.44;3.12;NA;26.52;NK;NK;NK;1;Y
PSP;2016;4;VL1824;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;22;22;313.11;18.61;NA;26.52;NK;NK;NK;2;Y
PSP;2016;1;VL2440;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;283;283;313.11;275.12;NA;26.52;NK;NK;NK;31;N
PSP;2016;5;VL0006;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;35;35;313.11;40.6;NA;40.6;NK;NK;NK;1;Y
