country;year;quarter;vessel_length;fishing_tech;gear_type;target_assemblage;mesh_size_range;metier;supra_region;sub_region;eez_indicator;geo_indicator;specon_tech;deep;rectangle_type;rectangle_lat;rectangle_lon;c_square;species;totwghtlandg;totvallandg;confidential
PSP;2014;1;NK;DTS;OTB;NK;DEF;OTB_DEF_>=40_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:1;LKO;0.081;0;NA
PSP;2014;2;NK;DTS;OTB;NK;DEF;OTB_DEF_>=40_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:2;MUT;0.05565;0;NA
PSP;2014;3;NK;DTS;OTB;NK;DWS;OTB_DWS_>=40_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:2;HOM;0.09;0;NA
PSP;2014;1;VL0006;DRB;DRB;NA;MOL;DRB_MOL_0_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;HMM;3.0367;0;NA
PSP;2014;4;VL0612;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MUT;0.008;0;NA
PSP;2014;1;VL1218;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;HOM;0.117;0;NA
PSP;2014;5;VL1824;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;BPI;0.01475;0;NA
PSP;2014;1;VL2440;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;SAA;2.33844;0;NA
PSP;2015;6;VL0006;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;CTC;0.14758;0;NA
PSP;2015;1;VL0612;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MUT;0.05444;0;NA
PSP;2015;7;VL1218;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;OCC;0.05392;0;NA
PSP;2015;8;VL1824;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;ANE;0.5231;0;NA
PSP;2015;1;VL2440;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MAC;6.66047;0;NA
PSP;2015;2;VL0006;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MAS;0.13522;0;NA
PSP;2016;3;VL0612;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;PAC;0.05225;0;NA
PSP;2016;1;VL1218;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;PIL;4.62224;0;NA
PSP;2016;4;VL1824;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;POP;0.048;0;NA
PSP;2016;1;VL2440;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;SQR;0.001;0;NA
PSP;2016;5;VL0006;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;BOG;0.63914;0;NA
PSP;2016;1;NK;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MAA;1.132;0;NA
PSP;2017;6;NK;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;BOG;0.153;0;NA
PSP;2017;1;NK;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;MUX;0.08975;0;NA
PSP;2017;7;VL2440;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;HOM;2.55376;0;NA
PSP;2017;8;VL0006;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MON;0.10145;0;NA
PSP;2017;1;VL0612;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;CTC;0.11394;0;NA
PSP;2017;2;VL1218;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;DPS;0.053;0;NA
PSP;2017;3;VL1824;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MUT;0.1694;0;NA
PSP;2018;1;VL2440;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MUX;0.08005;0;NA
PSP;2018;4;VL0006;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;OCC;0.2476;0;NA
PSP;2018;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;DPS;0.084;0;NA
PSP;2018;5;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MUT;0.12376;0;NA
PSP;2018;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;SBR;0.168;0;NA
PSP;2018;6;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;LKW;0.10175;0;NA
PSP;2018;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;ANE;6.91147;0;NA
PSP;2018;7;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;PAC;0.00735;0;NA
PSP;2018;8;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;PIL;24.2335;0;NA
PSP;2019;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;JAX;0.046;0;NA
PSP;2019;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;JAX;0.2507;0;NA
PSP;2019;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;SBA;0.078;0;NA
PSP;2019;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;BOG;0.0705;0;NA
PSP;2019;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;JAX;0.42324;0;NA
PSP;2019;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;MAX;52.4235;0;NA
PSP;2019;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;SAA;23.98794;0;NA
