country;year;quarter;vessel_length;fishing_tech;gear_type;target_assemblage;mesh_size_range;metier;supra_region;sub_region;eez_indicator;geo_indicator;specon_tech;deep;rectangle_type;rectangle_lat;rectangle_lon;c_square;totfishdays;confidential
ITA;2014;1;NK;DTS;OTB;NK;DEF;OTB_DEF_>=40_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:1;1.007;N
ITA;2014;2;NK;DTS;OTB;NK;DEF;OTB_DEF_>=40_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:2;1.008;N
ITA;2014;3;NK;DTS;OTB;NK;DWS;OTB_DWS_>=40_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:2;1.006;N
ITA;2014;1;VL0006;DRB;DRB;NA;MOL;DRB_MOL_0_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;1.008;N
ITA;2014;4;VL0612;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2014;1;VL1218;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2014;5;VL1824;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;29;N
ITA;2014;1;VL2440;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2015;6;VL0006;PMP;DRB;NA;MOL;DRB_MOL_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2015;1;VL0612;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;3;N
ITA;2015;7;VL1218;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;5;N
ITA;2015;8;VL1824;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;4;N
ITA;2015;1;VL2440;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;14;N
ITA;2015;2;VL0006;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;3;N
ITA;2016;3;VL0612;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2016;1;VL1218;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;11;N
ITA;2016;4;VL1824;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;16;N
ITA;2016;1;VL2440;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2016;5;VL0006;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2016;1;NK;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;21;N
ITA;2017;6;NK;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;1;N
ITA;2017;1;NK;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;12;N
