country;year;vessel_length;fishing_tech;supra_region;geo_indicator;principal_sub_region;tottrips;totkw;totgt;totves;avgage;avgloa;maxseadays
PSP;2014;NK;DTS;MBS;NGI;GSA99;11;221;21;1;7;11.78;110
PSP;2014;NK;DTS;MBS;NGI;GSA99;56;471;18;1;444;12.68;103
PSP;2014;NK;DTS;MBS;NGI;GSA99;99;441;45;44;15;444;173
PSP;2014;VL0006;DRB;MBS;NGI;GSA99;577;444;108;3;4444;16.93333333;444
PSP;2014;VL0612;PMP;MBS;NGI;GSA99;17;598;44;44;14;21.53;27
PSP;2014;VL1218;PMP;MBS;NGI;GSA99;101;219;68;1;27;20.04;55.5
PSP;2014;VL1824;PMP;MBS;NGI;GSA99;339;2434;949;8;18.875;23.44625;194.75
PSP;2014;VL2440;PMP;MBS;NGI;GSA99;222;444;1185;18;36.55555556;21.63611111;444
PSP;2015;VL0006;PMP;MBS;NGI;GSA99;279;1326;44;6;44;44;218
PSP;2015;VL0612;PMP;MBS;NGI;GSA99;37;1181;385;1;14;37.81;98
PSP;2015;VL1218;PMP;MBS;NGI;GSA99;59;44;384;1;17;38.22;232
PSP;2015;VL1824;PMP;MBS;NGI;GSA99;35;1048;44;44;44;25.94;192.6666667
PSP;2015;VL2440;PMP;MBS;NGI;GSA99;66;1150;380;2;18.5;4444;204.4
PSP;2015;VL0006;PMP;MBS;NGI;GSA99;29;44;336;1;27;32.32;444
PSP;2016;VL0612;PMP;MBS;NGI;GSA99;478;13037;4317;12;20.41666667;37.31083333;266.8
PSP;2016;VL1218;PMP;MBS;NGI;GSA99;38;1200;44;1;16;444;262
PSP;2016;VL1824;PMP;MBS;NGI;GSA99;530;444;4342;15;27.8;35.156;267.9
PSP;2016;VL2440;PMP;MBS;NGI;GSA99;39;1200;387;1;444;38.31;270
PSP;2016;VL0006;PMP;MBS;NGI;GSA99;83;221;23;1;3;444;444
PSP;2016;NK;PMP;MBS;NGI;GSA99;428;547;108;3;49.66666667;444;141
PSP;2017;NK;PMP;MBS;NGI;GSA99;69;818;200;2;44;21.305;44
PSP;2017;NK;PMP;MBS;NGI;GSA99;259;2213;854;7;18.71428571;23.37;172.7142857
PSP;2017;VL2440;PMP;MBS;NGI;GSA99;1805;3501;1024;16;444;444;444
PSP;2017;VL0006;PMP;MBS;NGI;GSA99;383;1984;881;9;24.77777778;44;214
PSP;2017;VL0612;PMP;MBS;NGI;GSA99;22;444;44;1;15;37.81;172
PSP;2017;VL1218;PMP;MBS;NGI;GSA99;89;1421;512;2;15.5;33.03;444
PSP;2017;VL1824;PMP;MBS;NGI;GSA99;36;1048;207;1;44;25.94;44
PSP;2018;VL2440;PMP;MBS;NGI;GSA99;69;1062;4444;1;26;29.8;189.4
PSP;2018;VL0006;PMP;MBS;NGI;GSA99;22;551;336;1;28;32.32;44
PSP;2018;VL0612;PMP;MBS;NGI;GSA99;590;16629;5532;15;20.8;37.59733333;271.8
PSP;2018;VL1218;PMP;MBS;NGI;GSA99;20;221;143;1;46;33.18;156
PSP;2018;VL1824;PMP;MBS;NGI;GSA99;370;11229;3034;11;29.27272727;34.62909091;4
PSP;2018;VL2440;PMP;MBS;NGI;GSA99;28;722;217;1;32;30.58;263
PSP;2018;VL0006;PMP;MBS;NGI;GSA99;21;1200;384;1;17;37.81;133
PSP;2018;VL0612;PMP;MBS;NGI;GSA99;91;221;25;1;28;11.95;92
PSP;2018;VL1218;PMP;MBS;NGI;GSA99;79;221;23;1;4;14.8;154
PSP;2019;VL1824;PMP;MBS;NGI;GSA99;340;363;75;2;51.5;17;181
PSP;2019;VL2440;PMP;MBS;NGI;GSA99;86;220;67;1;30;21.08;166
PSP;2019;VL0006;PMP;MBS;NGI;GSA99;95;219;68;1;29;20.04;82
PSP;2019;VL0612;PMP;MBS;NGI;GSA99;269;1326;655;6;21;23.935;205.6666667
PSP;2019;VL1218;PMP;MBS;NGI;GSA99;2170;4385;1513;20;36.2;21.9535;223
PSP;2019;VL1824;PMP;MBS;NGI;GSA99;4545;445;163;2;28.5;23.88;216
PSP;2019;VL2440;PMP;MBS;NGI;GSA99;22;1181;385;1;16;37.81;4554
PSP;2019;VL0006;PMP;MBS;NGI;GSA99;106;2052;512;2;16.5;33.03;228
PSP;2019;VL0612;PMP;MBS;NGI;GSA99;32;1048;207;1;28;45;172.5
PSP;2019;VL1218;PMP;MBS;NGI;GSA99;22;1062;445;45;4545;29.8;215.8
PSP;2020;VL1824;PMP;MBS;NGI;GSA99;27;551;336;1;29;32.32;192.5
PSP;2020;VL2440;PMP;MBS;NGI;GSA99;531;14229;4760;13;22.15384615;37.52615385;270.8
PSP;2020;VL0006;PMP;MBS;NGI;GSA99;430;12045;3514;12;4545;4545;4545
PSP;2020;VL0612;PMP;MBS;NGI;GSA99;37;1200;284;1;27;34.9;275
PSP;2020;VL1218;PMP;MBS;NGI;GSA99;76;4554;488;2;4554;34.545;272
PSP;2020;VL1824;PMP;MBS;NGI;GSA99;22;221;25;1;29;11.95;197
PSP;2020;VL2440;PMP;MBS;NGI;GSA99;51;221;2345;1;5;4545;4545
PSP;2020;VL0006;PMP;MBS;NGI;GSA99;333;363;75;2;52.5;17;181
PSP;2020;VL0612;PMP;MBS;NGI;GSA99;109;220;67;1;31;21.08;57
PSP;2014;VL1218;PMP;MBS;NGI;GSA99;246;445;655;6;22;23.935;190.5
PSP;2014;VL1824;PMP;MBS;NGI;GSA99;4545;3285;994;15;38.26666667;4545;215
PSP;2014;VL2440;PMP;MBS;NGI;GSA99;312;1321;651;6;4545;23.10333333;4545
PSP;2014;VL0006;PMP;MBS;NGI;GSA99;28;1181;385;1;17;37.81;195
PSP;2014;VL0612;PMP;MBS;NGI;GSA99;170;3676;1040;4;22.75;31.7;168.5
PSP;2014;VL1218;PMP;MBS;NGI;GSA99;4545;1062;252;4554;28;29.8;184.7
PSP;2014;VL1824;PMP;MBS;NGI;GSA99;34;45;207;1;29;25.94;4554
PSP;2014;VL2440;PMP;MBS;NGI;GSA99;496;13764;4545;12;22.08333333;4545;270.3
