"year","gsa","species","fishing_tech","vessel_length","landings_FDI","landings_AER"
2013,"9","MUT","DTS","VL0612",11282,NA
2013,"9","MUT","DTS","VL1218",292826,NA
2014,"9","MUT","DTS","VL1824",583288,NA
2014,"9","MUT","DTS","VL2440",37858,NA
2014,"9","MUT","PGP","VL0006",12363,NA
2014,"9","MUT","PGP","VL0612",69814,NA
2014,"9","MUT","PGP","VL1218",1027,NA
2015,"9","MUT","DTS","VL1824",606416,NA
2015,"9","MUT","DTS","VL2440",36388,NA
2015,"9","MUT","PGP","VL0006",6151,NA
2015,"9","MUT","PGP","VL0612",62300,NA
2016,"9","MUT","DTS","VL0612",12929,NA
2016,"9","MUT","DTS","VL1218",446081,NA
2016,"9","MUT","PS","VL1218",1287,NA
2017,"9","MUT","DTS","VL0612",13554,NA
2017,"9","MUT","PGP","VL1218",7681,NA
2017,"9","MUT","PS","VL1824",2105,NA
2018,"9","MUT","DTS","VL1218",567375,NA
2018,"9","MUT","DTS","VL1824",534259,NA
2018,"9","MUT","DTS","VL2440",30287,NA
2018,"9","MUT","PGP","VL0006",11681,NA
2018,"9","MUT","PS","VL1218",7,NA
2019,"9","MUT","DTS","VL0612",35422,NA
2019,"9","MUT","DTS","VL1218",318700,NA
2019,"9","MUT","DTS","VL1824",408258,NA
2019,"9","MUT","DTS","VL2440",29233,NA
2019,"9","MUT","PGP","VL0006",8686,NA
2019,"9","MUT","PGP","VL0612",37632,NA
2019,"9","MUT","PGP","VL1218",4542,NA
2019,"9","MUT","PS","VL1218",9,NA
2019,"9","MUT","TBB","VL1824",284,NA
2020,"9","MUT","DTS","VL0612",24990,NA
2020,"9","MUT","DTS","VL1218",268053,NA
2020,"9","MUT","DTS","VL1824",217834,NA
2020,"9","MUT","DTS","VL2440",26630,NA
2020,"9","MUT","PGP","VL0006",2506,NA
2020,"9","MUT","PGP","VL0612",17990,NA
2020,"9","MUT","PGP","VL1218",2568,NA
2021,"9","MUT","DTS","VL0612",42032,NA
2021,"9","MUT","DTS","VL1218",333263,NA
2021,"9","MUT","DTS","VL1824",335701,NA
2021,"9","MUT","DTS","VL2440",27261,NA
2021,"9","MUT","PGP","VL0006",4783,NA
2021,"9","MUT","PGP","VL0612",34505,NA
2021,"9","MUT","PGP","VL1218",1252,NA
2021,"9","MUT","PS","VL1218",1,NA
2021,"9","MUT","PS","VL1824",320,NA
2021,"9","MUT","TBB","VL1824",179,NA
