"year","gsa","species","fishing_tech","vessel_length","landings_FDI","landings_AER"
2008,"9","MUT","DTS","VL0612",NA,30705.49
2008,"9","MUT","PGP","VL0612",NA,10522.91
2009,"9","MUT","DTS","VL0612",NA,35348.55
2009,"9","MUT","DTS","VL2440",NA,16471.76
2009,"9","MUT","PGP","VL0612",NA,19803.32
2010,"9","MUT","DTS","VL0612",NA,24284.27
2010,"9","MUT","DTS","VL2440",NA,11049.34
2010,"9","MUT","PGP","VL0006",NA,1171.7
2010,"9","MUT","PGP","VL0612",NA,25816.28
2011,"9","MUT","DTS","VL1218",NA,357035.91
2011,"9","MUT","DTS","VL1824",NA,318323.1
2011,"9","MUT","PGP","VL1218",NA,2436.24
2012,"9","MUT","DTS","VL1824",NA,358301.86
2012,"9","MUT","DTS","VL2440",NA,12751.14
2012,"9","MUT","PGP","VL0006",NA,4571.13
2012,"9","MUT","PGP","VL0612",NA,58066.4
2012,"9","MUT","PGP","VL1218",NA,6
