"year","gear","fishery","total_number"
2017,"OTB","DEMSP",8922.26501
2017,"OTB","MDDWSP",27.304409
2016,"OTB","DEMSP",8079.770998
2016,"OTB","MDDWSP",832.557776
2015,"OTB","DEMSP",28892.278509
2014,"OTB","DEMSP",13087.620014
2013,"OTB","DEMSP",5388.74499
2013,"OTB","MDDWSP",368.850274
2012,"OTB","DEMSP",998.155986
2012,"OTB","MDDWSP",248.456154
2011,"OTB","DEMSP",29133.415703
2011,"OTB","MDDWSP",731.369524
2010,"OTB","DEMSP",6011.330552
2010,"OTB","MDDWSP",345.221917
2009,"OTB","DEMSP",11316.810385
