"year","gear","fishery","total_number"
2017,"OTB","DEMSP",84250.407015
2017,"OTB","MDDWSP",9442.039149
2016,"OTB","DEMSP",81778.366765
2016,"OTB","DWSP",790.899516
2016,"OTB","MDDWSP",13961.612765
2015,"OTB","DEMSP",79992.624618
2015,"OTB","DWSP",642.214943
2015,"OTB","MDDWSP",8149.918153
2014,"OTB","DEMSP",44673.997812
2014,"OTB","MDDWSP",6507.820686
2013,"OTB","DEMSP",38036.977246
2013,"OTB","MDDWSP",9298.032555
2012,"OTB","DEMSP",45388.00641
2012,"OTB","MDDWSP",10095.121072
2011,"OTB","DEMSP",33511.197552
2011,"OTB","MDDWSP",11755.343508
2010,"OTB","DEMSP",36354.88928
2010,"OTB","MDDWSP",9331.805539
2009,"OTB","DEMSP",22104.506541
2009,"OTB","MDDWSP",3811.54878
2008,"OTB","DEMSP",19314.226751
2008,"OTB","MDDWSP",4435.707296
2007,"OTB","DEMSP",7099.280729
2007,"OTB","MDDWSP",7752.069616
2006,"OTB","DEMSP",3434.857464
2005,"OTB","DEMSP",6167.446808
2005,"OTB","MDDWSP",21880.674092
2004,"OTB","-1",22257.631985
2003,"OTB","-1",18516.4188
