"year","length","tot_val"
2017,100,0
2017,99,0
2017,98,0
2017,97,0
2017,96,0
2017,95,0
2017,94,0
2017,93,0
2017,92,0
2017,91,0
2017,90,0
2017,89,0
2017,88,0
2017,87,0
2017,86,0
2017,85,0
2017,84,0
2017,83,0
2017,82,0
2017,81,0
2017,80,0
2017,79,0
2017,78,0
2017,77,0
2017,76,0
2017,75,0
2017,74,0
2017,73,0
2017,72,0
2017,71,0
2017,70,0
2017,69,0
2017,68,0
2017,67,0
2017,66,0
2017,65,0
2017,64,0
2017,63,0
2017,62,0
2017,61,0
2017,60,0
2017,59,0
2017,58,0
2017,57,0
2017,56,0
2017,55,0
2017,54,0
2017,53,0
2017,52,0
2017,51,0
2017,50,0
2017,49,0
2017,48,0
2017,47,0
2017,46,0
2017,45,1.740146
2017,44,4.72099
2017,43,7.444493
2017,42,0.749019
2017,41,14.631952
2017,40,65.100308
2017,39,130.083768
2017,38,140.312138
2017,37,450.474852
2017,36,417.953605
2017,35,722.106037
2017,34,899.7884
2017,33,1374.198519
2017,32,2186.137754
2017,31,2572.603669
2017,30,3490.267682
2017,29,4228.782359
2017,28,5191.490786
2017,27,4990.418608
2017,26,6021.670237
2017,25,6109.06705
2017,24,7480.15686
2017,23,8862.850904
2017,22,10366.81044
2017,21,9163.749287
2017,20,7305.108062
2017,19,5971.251134
2017,18,5843.545633
2017,17,4228.521024
2017,16,2201.459008
2017,15,647.824963
2017,14,158.526098
2017,13,159.751492
2017,12,123.912894
2017,11,191.930399
2017,10,372.873144
2017,9,365.184741
2017,8,156.933913
2017,7,12.817312
2017,6,9.065903
2017,5,0
2017,4,0
2017,3,0
2017,2,0
2017,1,0
2017,0,0
2016,100,0
2016,99,0
2016,98,0
2016,97,0
2016,96,0
2016,95,0
2016,94,0
2016,93,0
2016,92,0
2016,91,0
2016,90,0
2016,89,0
2016,88,0
2016,87,0
2016,86,0
2016,85,0
2016,84,0
2016,83,0
2016,82,0
2016,81,0
2016,80,0
2016,79,0
2016,78,0
2016,77,0
2016,76,0
2016,75,0
2016,74,0
2016,73,0
2016,72,0
2016,71,0
2016,70,0
2016,69,0
2016,68,0
2016,67,0
2016,66,0
2016,65,0
2016,64,0
2016,63,0
2016,62,0
2016,61,0
2016,60,0
2016,59,0
2016,58,0
2016,57,0
2016,56,0
2016,55,0
2016,54,0
2016,53,0
2016,52,0
2016,51,0
2016,50,0
2016,49,0
2016,48,0
2016,47,0
2016,46,14.501025
2016,45,38.253949
2016,44,21.199377
2016,43,20.77872
2016,42,20.111762
2016,41,138.254331
2016,40,212.963489
2016,39,543.703382
2016,38,445.694043
2016,37,1293.88242
2016,36,669.385976
2016,35,473.758193
2016,34,583.604559
2016,33,885.439336
2016,32,1192.128721
2016,31,2104.649408
2016,30,2272.29134
2016,29,3073.120741
2016,28,3928.679759
2016,27,4134.483401
2016,26,5153.119778
2016,25,4607.427058
2016,24,6312.841693
2016,23,8781.642065
2016,22,10684.476372
2016,21,12002.813368
2016,20,9827.31534
2016,19,7535.558538
2016,18,5516.897743
2016,17,5004.242286
2016,16,3333.015787
2016,15,1868.779407
