"year","gsa","species","fishing_tech","landings_FDI","landings_AER"
2018,"GSA97","DPS","HOK",2000,NA
2018,"GSA97","DPS","PGP",2000,NA
2018,"GSA97","HKE","MGP",2000,NA
2018,"GSA97","HKE","PG",341830,NA
2018,"GSA97","HKE","PGP",26380,NA
2018,"GSA97","NEP","PG",6810,NA
2018,"GSA97","NEP","PGP",6050,NA
2018,"GSA98","DPS","PG",13760,NA
2018,"GSA98","HKE","MGP",8080,NA
2018,"GSA98","HKE","PG",567530,NA
2018,"GSA98","HKE","PGP",34220,NA
2018,"GSA98","NEP","PG",31290,NA
2018,"GSA98","NEP","PGP",2020,NA
