Sampling_type;Flag_country;Year;Trip_code;Harbour;Number_of_sets_hauls_on_trip;Days_at_sea;Sampling.method;Aggregation_level;Station_number;Duration_of_fishing_operation;Initial_latitude;Initial_longitude;Final_latitude;Final_longitude;Depth_of_fishing_operation;Water_depth;Catch_registration;Species_registration;Date;Area;Fishing_activity_category_National;Fishing_activity_category_European_lvl_6;Species;Catch_category;Weight;Subsample_weight;Sex;Maturity_method;Maturity_scale;Maturity_Stage;Ageing.method;Age;Length_code;Length_class;Number_at_length;Commercial_size_category_scale;Commercial_size_category;fish_ID;Individual_weight
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;500;2;ITA;1;NA;1424.344628
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;170;1;ITA;1;NA;49.41020387
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;175;7;ITA;1;NA;34.40999486
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;180;10;ITA;1;NA;49.40479497
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2c;OWR;NA;scm;180;2;ITA;1;NA;97.93418185
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;10;scm;185;2;ITA;1;NA;74.61447488
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;185;13;ITA;1;NA;84.07512169
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2c;OWR;NA;scm;185;1;ITA;1;NA;45.43997381
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;2.5;scm;190;1;ITA;1;NA;66.15334041
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;3.5;scm;190;1;ITA;1;NA;81.93275762
