country;reference_year;gsa;source_data_cd;survey_name;fleet_segment_cd;scientific_name;length_unit;len;n_individ_measured_per_lenclass;w_individ_sampled_per_lenclass;n_individ_expanded_per_lenclass;comments
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;8.5;15;0.01;15;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;9;20;0.01;22;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;9.5;58;0.01;70;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;10;112;0.01;131;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;10.5;111;0.01;133;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;11;101;0.01;146;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;11.5;195;0.01;278;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;12;310;0.02;470;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;12.5;477;0.02;719;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;13;430;0.02;655;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;13.5;380;0.02;589;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;14;265;0.03;366;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;14.5;226;0.03;321;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;15;164;0.03;223;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;15.5;141;0.03;197;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;16;97;0.04;128;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;16.5;51;0.04;66;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;17;25;0.05;29;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;17.5;10;0.05;16;
ITA;2017;18;SU;MEDITS;T-12;BOG;cm;18;5;0.05;6;
